experiment,split,group,n_patches,fp_px,fn_px,tp_px,fp_per_patch,precision,recall,iou,dice,f1
E5,val,90m,3854,2190699,3284607,52968704,568.4,0.9602842148237157,0.9416104236068862,0.9063153606331925,0.9508556447157359,0.9508556447157359
E1,val,50m,2353,2071657,3057169,52363474,880.4,0.96194264692777,0.9448369987334847,0.9107910798489521,0.9533130957686384,0.9533130957686384
E1,val,70m,2922,2052235,5301309,35806192,702.3,0.9457918576490224,0.871037915926826,0.8296202738589485,0.9068770014328194,0.9068770014328194
E1,val,90m,3854,2283141,3310526,52942785,592.4,0.9586581671803911,0.9411496685057331,0.9044413043687702,0.9498232392817678,0.9498232392817678
E2,val,50m,2353,2072430,3088238,52332405,880.8,0.961907245927681,0.9442763953496517,0.910238438637641,0.953010284189247,0.953010284189247
E2,val,70m,2922,2120402,5376278,35731223,725.7,0.9439812161300845,0.86921418550838,0.8265777546507385,0.9050561932511754,0.9050561932511754
E2,val,90m,3854,2386733,3341131,52912180,619.3,0.9568394228653266,0.9406056116412402,0.9023216285444792,0.9486530721252129,0.9486530721252129
E7,val,50m,2353,3,49,55420594,0.0,0.999999945868499,0.9999991158529125,0.999999061721509,0.9999995308605344,0.9999995308605344
E7,val,70m,2922,35,71,41107430,0.0,0.999999148573134,0.9999982728213009,0.9999974213973785,0.9999987106970268,0.9999987106970268
E7,val,90m,3854,39,87,56253224,0.0,0.9999993067068821,0.9999984534243664,0.9999977601333948,0.999998880065443,0.999998880065443
E5_OOF,val,50m,2353,2099667,3112618,52308025,892.3,0.9614086368523022,0.9438364870649355,0.9093835725155152,0.952541527648579,0.952541527648579
E5_OOF,val,70m,2922,2154231,5256914,35850587,737.2,0.9433168973470656,0.8721178891414468,0.8286905156732958,0.9063212266600339,0.9063212266600339
E5_OOF,val,90m,3854,2455371,3038893,53214418,637.1,0.9558940128190517,0.9459784153860723,0.9064147956855838,0.9509103661353188,0.9509103661353188
E6,val,50m,2353,1971503,3049535,52371108,837.9,0.9637208635411336,0.9449747452406843,0.9125134996694481,0.9542557475564628,0.9542557475564628
E6,val,70m,2922,2042348,5212755,35894746,699.0,0.9461648802093252,0.8731921213113859,0.8318626097625491,0.9082150651793447,0.9082150651793447
E6,val,90m,3854,2222103,3166309,53087002,576.6,0.9598239204919318,0.9437133753780272,0.9078516656590052,0.9517004723167694,0.9517004723167694
E6,val,50m,2353,1971504,3049579,52371064,837.9,0.9637208164325232,0.9449739513126888,0.9125127171144148,0.9542553196626136,0.9542553196626136
E6,val,70m,2922,2042378,5212750,35894751,699.0,0.9461641390944452,0.8731922429436885,0.8318621472843509,0.9082147895435769,0.9082147895435769
E6,val,90m,3854,2222041,3166310,53087001,576.6,0.9598249957032325,0.9437133576012958,0.9078526111309242,0.9517009918211379,0.9517009918211379
E8,val,50m,2353,2070956,3048106,52372537,880.1,0.9619613679085562,0.9450005298567162,0.910959825626,0.9534055226174982,0.9534055226174982
E8,val,70m,2922,2193491,5237691,35869810,750.7,0.9423725493487785,0.8725855166919516,0.8283831003225035,0.9061373408848367,0.9061373408848367
E8,val,90m,3854,2342837,3118624,53134687,607.9,0.9577696185575966,0.9445610588148298,0.9067948801003082,0.9511194828177907,0.9511194828177907
E10,val,50m,2353,1955179,3060361,52360282,830.9,0.9640032697135703,0.9447794028661831,0.9125844332129989,0.9542945319072007,0.9542945319072007
