experiment,split,group,n_patches,fp_px,fn_px,tp_px,fp_per_patch,precision,recall,iou,dice,f1
E12,val,small,3228,896525,1024577,15030793,277.7,0.9437114899068321,0.9361847780524464,0.8866733188236425,0.9399330662888593,0.9399330662888593
E12,val,tiny,230,15124,20805,98920,65.8,0.8673845182553511,0.8262267696798278,0.7335612425744844,0.8463055409396257,0.8463055409396257
E19,val,empty,364,19906,0,0,54.7,0.0,0.0,0.0,0.0,0.0
E19,val,medium,5307,6061997,8749524,127856836,1142.3,0.9547337975981309,0.9359508298149509,0.8961821576174731,0.9452490142017933,0.9452490142017933
E19,val,small,3228,966122,974003,15081367,299.3,0.9397960640446555,0.9393347521732546,0.886019098678301,0.9395653514847355,0.9395653514847355
E19,val,tiny,230,16336,20978,98747,71.0,0.85805027675603,0.8247817916050743,0.7257553597278237,0.8410871861261793,0.8410871861261793
E20,val,empty,364,25052,0,0,68.8,0.0,0.0,0.0,0.0,0.0
E20,val,medium,5307,5653111,9006908,127599452,1065.2,0.9575759679759398,0.9340667008476027,0.8969487310971367,0.945675248248137,0.945675248248137
E20,val,small,3228,893803,1014271,15041099,276.9,0.9439090996606007,0.936826681664758,0.8874237698795044,0.9403545552848036,0.9403545552848036
E20,val,tiny,230,16825,19201,100524,73.2,0.8566242575557894,0.8396241386503741,0.7361699011345763,0.8480390089166893,0.8480390089166893
E0,val,empty,364,49941,0,0,137.2,0.0,0.0,0.0,0.0,0.0
E0,val,medium,5307,6005746,9240060,127366300,1131.7,0.9549699792413764,0.9323599574719649,0.8930959900416864,0.9435295354695882,0.9435295354695882
E0,val,small,3228,992094,1065294,14990076,307.3,0.93792495011628,0.9336487418228235,0.8793141314156705,0.9357819607872485,0.9357819607872485
E0,val,tiny,230,15115,23802,95923,65.7,0.8638754300321837,0.801194403841469,0.7113838623548566,0.8313551132543643,0.8313551132543643
E1,val,empty,364,30197,0,0,83.0,0.0,0.0,0.0,0.0,0.0
