experiment,split,group,n_patches,fp_px,fn_px,tp_px,fp_per_patch,precision,recall,iou,dice,f1
E2,val,empty@50m,119,15009,0,0,126.1,0.0,0.0,0.0,0.0,0.0
E2,val,empty@70m,141,2872,0,0,20.4,0.0,0.0,0.0,0.0,0.0
E2,val,empty@90m,104,10147,0,0,97.6,0.0,0.0,0.0,0.0,0.0
E2,val,medium@50m,1510,1860134,2825162,49037003,1231.9,0.9634530720264267,0.9455255676271885,0.9127867554588442,0.9544051398869944,0.9544051398869944
E2,val,medium@70m,1462,1697568,4772899,30422348,1161.1,0.9471490523200592,0.8643879669320098,0.8246144405082648,0.9038780163096375,0.9038780163096375
E2,val,medium@90m,2335,2076157,2907236,46641712,889.1,0.9573840760563626,0.9413259793124147,0.9034695813209467,0.9492871230376771,0.9492871230376771
E2,val,small@50m,667,195926,253627,3278915,293.7,0.9436158373864892,0.9282026936975999,0.8794268852515059,0.9358458072007634,0.9358458072007634
E2,val,small@70m,1242,416020,589971,5282926,335.0,0.927000536590434,0.8995434450833908,0.8400374818112429,0.9130656197115626,0.9130656197115626
E2,val,small@90m,1319,290944,426781,6223150,220.6,0.9553362294127019,0.9358217401052592,0.8965944495470544,0.9454783016592497,0.9454783016592497
E2,val,tiny@50m,57,1361,9449,16487,23.9,0.9237449574130224,0.6356801357162412,0.6039857859815951,0.7531061574987368,0.7531061574987368
E2,val,tiny@70m,77,3942,13408,25949,51.2,0.8681208390456387,0.6593236273073168,0.5992979052620169,0.7494512476883817,0.7494512476883817
E2,val,tiny@90m,96,9485,7114,47318,98.8,0.833019382777612,0.8693048206921126,0.7403038315303592,0.8507753854444637,0.8507753854444637
E7,val,empty@50m,119,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
E7,val,empty@70m,141,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
E7,val,empty@90m,104,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
E7,val,medium@50m,1510,3,43,51862122,0.0,0.999999942154316,0.999999170879193,0.9999991130336068,0.9999995565166067,0.9999995565166067
E7,val,medium@70m,1462,29,55,35195192,0.0,0.9999991760244922,0.9999984372889869,0.9999976133160571,0.9999988066566043,0.9999988066566043
E7,val,medium@90m,2335,39,73,49548875,0.0,0.9999992128989932,0.9999985267093845,0.9999977396106988,0.999998869804072,0.999998869804072
E7,val,small@50m,667,0,6,3532536,0.0,0.9999999999999717,0.9999983015063656,0.9999983015063656,0.9999991507524617,0.9999991507524617
E7,val,small@70m,1242,4,13,5872884,0.0,0.9999993189040725,0.9999977864416659,0.9999971053487706,0.9999985526722904,0.9999985526722904
